인허가관할기관,업소명,업종,업소주소
인천광역시 서구,(주)스타아트아카데미,일반음식점,인천광역시 서구 새오개로111번안길 26(5층 신현동)
인천광역시 부평구,(주)스파렉스 부평,일반음식점,인천광역시 부평구 부흥로 264(동아웰빙타운 7층 702호 부평동)
인천광역시 중구,(주)신차이,일반음식점,인천광역시 중구 차이나타운로 25(지하2층~지하3층 북성동3가)
인천광역시 계양구,(주)아모르카페인천장애인부모연대계양지회,일반음식점,인천광역시 계양구 계산새로 88(1층 일부호 계산동)
인천광역시 남동구,(주)아셀테크 에바돈가츠 서창점,일반음식점,인천광역시 남동구 서창남순환로216번길 17(스카이플러스 1층 121호 서창동)
인천광역시 미추홀구,(주)아워홈 SSG랜더스문학인천점,일반음식점,"인천광역시 미추홀구 매소홀로 618(문학동,외 32필지 지하1층)"
인천광역시 중구,(주)아워홈 T1점 [4F 델리 WEST 에그드랍],일반음식점,인천광역시 중구 공항로 272(인천공항제1터미널 일반동 4층 운서동)
인천광역시 중구,(주)아워홈 T1점 [B1 컬리너리스퀘어 남산왕돈까스],일반음식점,인천광역시 중구 공항로 272(인천공항제1여객터미널 일반동 지하1층 운서동)
인천광역시 중구,(주)아워홈 T1점 [B1 컬리너리스퀘어 리틀싱카이],일반음식점,인천광역시 중구 공항로 272(인천공항제1여객터미널 일반동 지하1층 운서동)
인천광역시 중구,(주)아워홈 T1점 [B1 컬리너리스퀘어 손수옥],일반음식점,인천광역시 중구 공항로 272(인천공항제1여객터미널 지하1층 운서동)
인천광역시 중구,(주)아워홈 T1점 [B1 컬리너리스퀘어 우리가김치],일반음식점,인천광역시 중구 공항로 272(인천공항1여객터미널 일반동 지하1층 운서동)
인천광역시 중구,(주)아워홈 T1점 [B1 한식소담길],일반음식점,인천광역시 중구 공항로 272(인천공항1터미널 일반동 지하1층 운서동)
인천광역시 중구,(주)아워홈 T1점[4F 델리 WEST 홀],일반음식점,인천광역시 중구 공항로 272(인천공항제1터미널 일반동 4층 운서동)
인천광역시 중구,(주)아워홈 T1점[4F 손수헌],일반음식점,인천광역시 중구 공항로 272(인천국제공항제1터미널 일반동 4층 운서동)
인천광역시 중구,(주)아워홈 T1점[4F 자연],일반음식점,인천광역시 중구 공항로 272(인천국제공항제1터미널 일반동 4층 운서동)
인천광역시 중구,(주)아워홈 T1점[4F 청운미가],일반음식점,인천광역시 중구 공항로 272(인천공항제1터미널 일반동 4층 운서동)
인천광역시 중구,(주)아워홈 T1점[4F 푸드엠파이어 EAST 니맛],일반음식점,인천광역시 중구 공항로 272(인천공항제1터미널 일반동 4층 운서동)
인천광역시 중구,(주)아워홈 T1점[4F 푸드엠파이어 EAST 청진동순두부],일반음식점,인천광역시 중구 공항로 272(인천공항제1터미널 일반동 4층 운서동)
인천광역시 중구,(주)아워홈 T1점[B1 PHO],일반음식점,인천광역시 중구 공항로 272(인천공항제1여객터미널 일반동 지하1층 운서동)
인천광역시 중구,(주)아워홈 T1점[B1 별미분식],일반음식점,인천광역시 중구 공항로 272(인천공항제1여객터미널 일반동 지하1층 운서동)
인천광역시 중구,(주)아워홈T1점[4F 델리 EAST 할리스],일반음식점,인천광역시 중구 공항로 272(인천공항제1터미널 일반동 4층 운서동)
인천광역시 중구,(주)아워홈T1점[4F 델리 EAST 홀],일반음식점,인천광역시 중구 공항로 272(인천공항제1터미널 일반동 4층 운서동)
인천광역시 중구,(주)아워홈T1점[4F 푸드엠파이어 WEST 남산왕돈까스],일반음식점,인천광역시 중구 공항로 272(인천공항1터미널 일반동 4층 운서동)
인천광역시 중구,(주)아워홈T1점[B1 싱카이],일반음식점,인천광역시 중구 공항로 272(인천공항제1여객터미널 일반동 지하1층 운서동)
인천광역시 중구,(주)어차밥,일반음식점,인천광역시 중구 공항서로 583(1층 을왕동)
인천광역시 계양구,(주)연락골고추장추어탕,일반음식점,인천광역시 계양구 오류길 2(오류동)
인천광역시 서구,(주)예우 연세병원 장례식장,일반음식점,인천광역시 서구 승학로 320(연세병원 장례식장 지하1층 일부 연희동)
인천광역시 계양구,(주)와만타감자탕,일반음식점,인천광역시 계양구 장제로 717(2층 작전동)
인천광역시 서구,(주)원데이푸드,일반음식점,인천광역시 서구 로봇랜드로 131(2동 청라동)
인천광역시 연수구,(주)윤에프앤비,일반음식점,"인천광역시 연수구 송도미래로 30(송도동, 송도스마트밸리 F동 B101호)"
인천광역시 중구,(주)은우 리얼야구존,일반음식점,인천광역시 중구 하늘달빛로 90-21(K.P타워 4층 중산동)
인천광역시 미추홀구,(주)이래서 밤새먹소 인천용현점,일반음식점,인천광역시 미추홀구 매소홀로 36(1층 일부호 용현동)
인천광역시 남동구,(주)이에이코퍼레이션송도갈매기,일반음식점,인천광역시 남동구 논현로26번길 40-15(2층 논현동)
인천광역시 남동구,(주)이에이코퍼레이션우사,일반음식점,인천광역시 남동구 논현로26번길 40-15(3층 논현동)
인천광역시 연수구,(주)이학,일반음식점,인천광역시 연수구 먼우금로 208(지상2층 연수동)
인천광역시 중구,(주)임페리얼트레져사우스코리아,일반음식점,"인천광역시 중구 영종해안남로321번길 186(1층 운서동, 파라다이스시티)"
인천광역시 강화군,(주)장어마을,일반음식점,인천광역시 강화군 길상면 해안남로 298
인천광역시 남동구,(주)정정당당 화로구이,일반음식점,"인천광역시 남동구 백범로 182(만수동,1층, 2층)"
인천광역시 연수구,(주)제우스볼펍,일반음식점,"인천광역시 연수구 송도과학로16번길 33-4(송도 트리플스트리트 D동 101,102,103일부호 송도동)"
인천광역시 계양구,(주)제우스브루잉컴퍼니,일반음식점,인천광역시 계양구 봉오대로894번길 48-7(1층 서운동)
인천광역시 부평구,(주)주안디자인종합건설서울가든파티,일반음식점,인천광역시 부평구 주부토로 236(인천테크노밸리 U1센터 A동 2층 231호 갈산동)
인천광역시 계양구,(주)지원글로벌케이와이씨 백소정 계양구청점,일반음식점,"인천광역시 계양구 오조산로89번길 9(용종동,태영프라자 108,109호)"
인천광역시 남동구,(주)청해신푸른바다,일반음식점,"인천광역시 남동구 용천로152번길 18(간석동, 1층일부)"
인천광역시 서구,(주)촌장,일반음식점,인천광역시 서구 서곶로 296(심곡동)
인천광역시 강화군,(주)충남서산집,일반음식점,인천광역시 강화군 내가면 중앙로 1198(1층)
인천광역시 미추홀구,(주)캘리스코 히바린 롯데인천점,일반음식점,인천광역시 미추홀구 연남로 35(6층 관교동)
인천광역시 중구,(주)캘리스코 히바린 파라다이스시티점,일반음식점,인천광역시 중구 영종해안남로321번길 186(파라다이스시티플라자 2층 F203호 운서동)
인천광역시 중구,(주)커피빈코리아 영종도운서역점,일반음식점,"인천광역시 중구 신도시남로142번길 6(메가스타 영종 139,140,141호 운서동)"
인천광역시 남동구,(주)케이(K)창업연구소,일반음식점,인천광역시 남동구 만의골로 222(2층 일부호 장수동)
인천광역시 남동구,(주)코코스키,일반음식점,인천광역시 남동구 성말로 9(이노 프라자 2층 208호 구월동)
인천광역시 연수구,(주)큐브스튜디오 송도지점(미니특공대 테마파크),일반음식점,인천광역시 연수구 컨벤시아대로 81(드림시티 지하1층 B21일부호 송도동)
인천광역시 계양구,(주)크록버거작전직영점,일반음식점,인천광역시 계양구 계양대로 45(1층 일부호 작전동)
인천광역시 강화군,(주)토브푸드,일반음식점,인천광역시 강화군 강화읍 강화대로248번길 5(103호)
인천광역시 남동구,(주)통큰소한마리,일반음식점,인천광역시 남동구 경원대로 960(1층 간석동)
인천광역시 연수구,(주)파티블룸스퀘어,일반음식점,인천광역시 연수구 송도힐즈로10길 8(지상1층 일부호 동춘동)
인천광역시 서구,(주)평화누리 국제성모장례식장,일반음식점,"인천광역시 서구 심곡로100번길 25(심곡동, 국제성모병원 지하2층)"
인천광역시 부평구,(주)평화누리 인천성모장례식장,일반음식점,"인천광역시 부평구 동수로 56(부평동, 외 8필지 인천성모병원 3동 지하2층)"
인천광역시 연수구,(주)포세카 송도싸토리우스지점,일반음식점,"인천광역시 연수구 송도미래로 137(10,11동 지상1층 송도동)"
인천광역시 부평구,(주)푸른세상코나카페(KONA CAFE),일반음식점,인천광역시 부평구 평천로 553(2층 삼산동)
인천광역시 미추홀구,(주)한일관,일반음식점,"인천광역시 미추홀구 연남로 35(인천종합터미널,롯데백화점 지하1층 일부호 관교동)"
인천광역시 남동구,(주)할로떡볶이,일반음식점,인천광역시 남동구 문화서로28번길 36(1층 구월동)
인천광역시 남동구,(주)해우리인천,일반음식점,인천광역시 남동구 인주대로 611(삼성생명 구월동빌딩 1층 일부호 구월동)
인천광역시 서구,(주)해움푸드,일반음식점,인천광역시 서구 길주로63번길 25(대명빌딩 2층 일부호 석남동)
인천광역시 서구,(주)해움푸드 인천점,일반음식점,"인천광역시 서구 길주로63번길 25(석남동, 1층전부)"
인천광역시 서구,(주)해피락플러스,일반음식점,인천광역시 서구 한서로 58-2(백석동)
인천광역시 연수구,(주)헤비스테이크 송도점,일반음식점,인천광역시 연수구 신송로 153(더 마란츠타워 지상1층 116호 송도동)
인천광역시 부평구,(주)헤세드,일반음식점,인천광역시 부평구 대정로 66(다운타운일레븐 6층 602호 부평동)
인천광역시 서구,(주)호성이골뱅이,일반음식점,"인천광역시 서구 보석로 32(상가동 2-09호 청라동, 청라파크자이더테라스 2단지)"
인천광역시 계양구,(주)호텔카리스소셜클럽,일반음식점,"인천광역시 계양구 계양대로 28(주호텔카리스 11층,지하1층 일부호 작전동)"
인천광역시 계양구,(주)호텔카리스스페로,일반음식점,인천광역시 계양구 계양대로 28(주호텔카리스 지하1.2층 일부호 작전동)
인천광역시 계양구,(주)홍성씨앤아이낙지사랑,일반음식점,인천광역시 계양구 벌말로573번길 7(1층 상야동)
인천광역시 연수구,(준)JUN꼬마김밥,일반음식점,인천광역시 연수구 송도미래로 9(비알씨주 연구소 3동 1층 123호 송도동)
